,company,job title,location,job description,salary estimate,company_size,company_type,company_sector,company_industry,company_founded,company_revenue
0,"Xtage Labs
3.7",Data Scientists,India,#N/A,#N/A,1 to 50 Employees,#N/A,#N/A,#N/A,#N/A,Unknown / Non-Applicable
1,"Rolls-Royce
3.8",Data Scientist,Bangalore,#N/A,"₹7,84,210 /yr (est.)",10000+ Employees,#N/A,Aerospace & Defence,Aerospace & Defence,1906,$10+ billion (USD)
2,Vikatan Group,Data Scientist,India,#N/A,"₹3,90,000 /mo (est.)",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
3,Stackapps IT Services Pvt Ltd,Data Scientist,Hyderābād,#N/A,"₹6,50,000 /yr (est.)",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
4,GWC Technologies,Data Scientist,Bangalore,#N/A,"₹11,09,024 /yr (est.)",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
5,"Conduent
3.1",Data Scientist II,Remote,#N/A,#N/A,10000+ Employees,#N/A,Information Technology,Information Technology Support Services,2017,Unknown / Non-Applicable
6,"Google
4.5","Data Scientist, Business and Marketing",Bangalore,#N/A,#N/A,10000+ Employees,#N/A,Information Technology,Internet & Web Services,1998,$10+ billion (USD)
7,"Orcapod
3.5",Data Scientist,Bangalore,#N/A,"₹8,50,000 /yr (est.)",201 to 500 Employees,#N/A,Management & Consulting,Business Consulting,2010,Unknown / Non-Applicable
8,"Bosch Group
4.2",Data Scientist,Bangalore,#N/A,"₹6,78,615 /yr (est.)",10000+ Employees,#N/A,Manufacturing,Consumer Product Manufacturing,1886,$10+ billion (USD)
9,Deets Digital,Data Scientist,Bangalore,#N/A,"₹15,00,000 /yr (est.)",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
10,CESIT,Data Scientist (Remote),Hyderābād,#N/A,"₹22,50,000 /yr (est.)",Unknown,#N/A,#N/A,#N/A,#N/A,Unknown / Non-Applicable
11,Headstart Manpower Consultants,Data Scientist(FromNIT/IIT),Bangalore,#N/A,"₹24,96,000 /mo (est.)",51 to 200 Employees,#N/A,Human Resources & Staffing,HR Consulting,#N/A,Unknown / Non-Applicable
12,The Pioneertech,Data Scientist,Ahmedabad,#N/A,"₹7,97,939 /mo (est.)",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
13,"CoRover
4.9",Data Scientist,Remote,#N/A,#N/A,1 to 50 Employees,#N/A,#N/A,#N/A,#N/A,Unknown / Non-Applicable
14,"PayU
4.0",Data Scientist - Credit Risk,India,#N/A,#N/A,1001 to 5000 Employees,#N/A,Information Technology,Internet & Web Services,2002,$10+ billion (USD)
15,Mapcom info Solution Limited,Data Scientist,Bangalore,#N/A,"₹4,48,000 /yr (est.)",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
16,"PADMASAI FINANCE PRIVATE LIMITED
3.1",Data Scientist,Hyderābād,#N/A,"₹13,00,000 /yr (est.)",51 to 200 Employees,#N/A,#N/A,#N/A,#N/A,Unknown / Non-Applicable
17,Inumellas Consultancy Services,Data Scientist,Hyderābād,#N/A,"₹12,00,000 /yr (est.)",Unknown,#N/A,#N/A,#N/A,#N/A,Unknown / Non-Applicable
18,"BatchService
4.8",Data Scientist,Remote,#N/A,#N/A,51 to 200 Employees,#N/A,Information Technology,Enterprise Software & Network Solutions,2018,$25 to $50 million (USD)
19,Yorshr,Jr. Data Scientist,India,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
20,Turbo Hire,Data Scientist,Remote,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
21,"Mercedes-Benz Research and Development India Private Limited
4.1",Data Scientist,Bangalore,#N/A,"₹4,11,133 /yr (est.)",10000+ Employees,#N/A,Manufacturing,Transportation Equipment Manufacturing,1886,Unknown / Non-Applicable
22,Instrovate Technologies,Data Science & Data Engineering Intern ( Female Only ),New Delhi,#N/A,"₹66,000 /mo (est.)",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
23,"IBM
4.1",Data Scientist,Bangalore,#N/A,"₹6,19,792 /yr (est.)",10000+ Employees,#N/A,Information Technology,Information Technology Support Services,1911,$10+ billion (USD)
